time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging
2022-09-05T18:18:05.000Z,51.34336968,12.35205972,,38.0,,,13,gps,,,,,,,,57,test log,1662401885000,2022-09-05T20:18:05.000+02:00,0.0,1662394774930,Default Profile,false
2022-09-05T18:19:31.000Z,51.34065941,12.35062701,110.0,24.0,,,15,gps,2.1,1.0,2.3,45.0,,,,57,,1662401971000,2022-09-05T20:19:31.000+02:00,317.3741056635089,1662394774930,Default Profile,false
2022-09-05T18:20:38.000Z,51.33901188,12.34994735,142.0,33.0,,,8,gps,1.9,0.9,2.1,45.0,,,,57,,1662402038000,2022-09-05T20:20:38.000+02:00,506.5567200794412,1662394774930,Default Profile,false
2022-09-05T18:21:45.000Z,51.33647068,12.35090482,127.0,30.0,,,10,gps,1.9,0.9,2.1,45.0,,,,57,,1662402105000,2022-09-05T20:21:45.000+02:00,796.8477105807516,1662394774930,Default Profile,false
2022-09-05T18:22:51.000Z,51.33351691,12.35183338,99.0,22.0,219.9,1.81,6,gps,1.8,0.9,2.1,45.0,,,,57,,1662402171000,2022-09-05T20:22:51.000+02:00,1131.56680841275,1662394774930,Default Profile,false
2022-09-05T18:23:58.000Z,51.33144606,12.34985437,131.0,36.0,,,11,gps,1.8,0.9,2.1,45.0,,,,57,,1662402238000,2022-09-05T20:23:58.000+02:00,1399.7591192628356,1662394774930,Default Profile,false
2022-09-05T18:25:04.000Z,51.32902979,12.3473689,110.0,21.0,279.1,4.5407047,5,gps,1.8,0.9,2.1,45.0,,,,57,,1662402304000,2022-09-05T20:25:04.000+02:00,1719.1453920657736,1662394774930,Default Profile,false
2022-09-05T18:26:09.000Z,51.32727552,12.3437262,102.0,29.0,,,9,gps,1.8,0.9,2.0,45.0,,,,57,,1662402369000,2022-09-05T20:26:09.000+02:00,2038.6916875613224,1662394774930,Default Profile,false
2022-09-05T18:27:17.000Z,51.32514975,12.3418271,97.0,17.0,,,8,gps,1.8,0.9,2.0,45.0,,,,57,,1662402437000,2022-09-05T20:27:17.000+02:00,2309.4051575283647,1662394774930,Default Profile,false
2022-09-05T18:28:38.000Z,51.32443629,12.34250564,163.0,38.0,,0.0,6,gps,2.0,1.0,2.2,45.0,,,,57,,1662402518000,2022-09-05T20:28:38.000+02:00,2401.691630950212,1662394774930,Default Profile,false
